17.219,50.500,18.750,43.000,60.875,26.375,67.750,19.000,48.750,34.875
17.891,51.375,19.625,44.000,62.000,26.125,68.125,19.125,48.750,35.625
18.438,50.875,19.875,43.875,61.875,27.250,68.500,18.250,49.000,36.375
18.672,51.500,20.000,44.000,62.625,27.875,69.375,18.375,49.625,36.250
17.438,49.000,20.000,41.375,59.750,25.875,63.250,16.500,47.500,35.500
18.109,49.000,19.500,41.875,59.625,26.625,66.250,17.125,47.750,34.375
18.563,49.375,19.125,42.500,60.750,27.250,65.750,16.875,47.875,34.000
18.672,50.125,19.250,43.000,61.750,28.000,66.000,16.875,47.250,34.625
18.563,49.750,19.000,43.250,61.750,29.000,65.750,17.125,47.000,34.875
19.063,50.500,19.125,43.875,61.875,29.625,66.875,17.750,47.375,36.000
19.000,50.250,19.625,44.000,62.125,30.000,66.500,17.375,47.750,35.625
19.063,49.750,20.000,44.375,61.250,29.875,66.500,16.875,48.000,35.375
18.719,49.250,19.000,43.500,60.375,29.000,65.875,16.500,48.000,34.500
18.438,49.250,18.375,43.375,60.375,29.000,65.000,16.500,47.500,34.875
19.063,50.250,18.375,43.500,60.375,29.125,65.750,16.375,47.875,36.625
20.000,50.250,18.125,44.000,60.750,30.000,67.000,16.750,49.000,37.000
19.891,50.125,18.250,44.625,60.875,30.000,66.250,17.000,48.125,37.375
19.563,50.125,18.625,46.000,61.250,29.750,66.500,16.875,48.750,37.750
19.891,51.000,18.750,46.500,61.875,31.375,67.375,17.625,49.000,37.875
20.328,52.250,18.875,47.000,63.500,32.125,67.625,17.875,49.250,38.375
20.563,52.625,18.875,46.500,63.375,32.125,67.000,18.000,49.000,38.625
20.438,53.250,19.250,46.125,63.625,32.125,66.375,18.250,48.875,38.500
20.500,53.750,19.250,46.000,63.250,30.750,66.500,18.000,47.750,37.500
20.563,53.750,19.125,45.750,63.250,30.000,67.375,18.250,47.500,37.125
20.328,53.500,19.000,45.500,62.375,30.000,67.375,18.375,46.000,37.375
19.891,52.875,18.875,45.000,61.375,29.250,67.375,17.625,44.500,36.375
