0,0.1
1,0.14
2,0.04
3,0.13
4,0.93
5,0.07
6,0.05
7,0.09
8,0.18
9,0.12
10,0.11
11,0.07
12,0.03
13,0.18
14,0.31
15,0.08
16,0.32
17,0.02
18,0.03
19,0.05
20,0.02
21,0.2
22,0.38
23,0.02
24,0.04
25,0.1
26,0.07
27,0.14
28,0.04
29,0.36
30,0.1
31,0.07
32,0.21
33,0.07
34,0.38
35,0.29
36,0.07
37,0.27
38,0.02
39,0.73
40,0.17
41,0.08
42,0.18
43,0.62
44,0.79
45,0.43
46,0.05
47,0.08
48,0.21
49,0.07
50,0.26
51,1.0
52,0.16
53,0.19
54,1.0
55,0.26
56,0.11
57,0.18
58,0.53
59,0.11
60,0.01
61,0.1
62,0.15
63,0.03
64,0.09
65,0.17
66,0.27
67,0.05
68,0.12
69,0.06
70,0.03
71,1.0
72,0.25
73,0.04
74,0.12
75,0.36
76,0.22
77,0.21
78,0.15
79,0.26
80,0.11
81,0.5
82,0.38
83,0.03
84,0.03
85,0.39
86,0.05
87,0.47
88,0.01
89,0.21
90,0.02
91,0.45
92,0.24
93,0.22
94,0.36
95,0.33
96,0.02
97,0.66
98,0.19
99,0.12
100,0.49
101,0.11
102,0.08
103,0.35
104,0.11
105,0.21
106,0.04
107,0.08
108,0.17
109,0.09
110,0.2
111,0.28
112,0.35
113,0.05
114,0.07
115,0.08
116,0.14
117,0.14
118,0.04
119,0.18
120,0.02
121,0.04
122,0.3
123,0.14
124,0.1
125,0.04
126,0.07
127,0.67
128,0.12
129,0.16
130,0.96
131,0.09
132,0.33
133,0.54
134,0.01
135,0.2
136,0.45
137,0.06
138,0.02
139,0.08
140,0.11
141,0.1
142,0.74
143,0.11
144,0.97
145,0.21
146,0.61
147,0.09
148,0.14
149,0.06
150,0.03
151,0.21
152,0.11
153,0.33
154,0.55
155,0.06
156,0.79
157,0.04
158,0.22
159,0.04
160,0.01
161,0.15
162,0.31
163,0.69
164,0.28
165,0.32
166,0.21
167,0.59
168,0.31
169,0.4
170,0.17
171,0.32
172,0.12
173,0.02
174,0.11
175,0.09
176,0.12
177,0.55
178,0.19
179,0.53
180,0.22
181,0.1
182,0.05
183,0.78
184,0.1
185,0.08
186,0.09
187,0.19
188,0.07
189,0.13
190,0.67
191,1.0
192,0.19
193,0.11
194,0.1
195,0.84
196,0.07
197,0.13
198,0.12
199,0.02
200,0.19
201,0.1
202,0.02
203,0.11
204,0.19
205,0.13
206,0.07
207,0.26
208,0.28
209,0.16
210,0.07
211,0.14
212,0.38
213,1.0
214,0.05
215,0.68
216,0.39
217,0.07
218,0.16
219,0.34
220,0.04
221,0.16
222,0.13
223,0.59
224,0.28
225,0.09
226,0.16
227,0.04
228,0.03
229,0.31
230,0.06
231,0.12
232,0.14
233,0.14
234,0.23
235,0.08
236,0.83
237,0.04
238,0.54
239,0.12
240,0.09
241,0.53
242,0.33
243,0.16
244,0.04
245,0.16
246,0.08
247,0.25
248,0.02
249,0.23
250,0.08
251,0.02
252,0.28
253,1.0
254,0.35
255,0.21
256,0.24
257,0.04
258,0.14
259,0.1
260,0.1
261,0.57
262,0.2
263,0.05
264,0.1
265,0.35
266,0.04
267,0.97
268,0.04
269,0.24
270,0.02
271,0.54
272,0.27
273,0.84
274,0.34
275,0.06
276,0.07
277,0.38
278,0.1
279,0.04
280,0.12
281,0.79
282,0.66
283,0.4
284,0.6
285,0.19
286,0.37
287,0.06
288,0.0
289,0.08
290,0.16
291,0.25
292,0.07
293,0.17
294,0.1
295,0.03
296,0.14
297,0.17
298,0.2
299,0.12
300,0.46
301,0.11
302,0.21
303,0.22
304,0.47
305,0.73
306,0.45
307,0.27
308,0.11
309,0.02
310,0.01
311,0.23
312,0.04
313,0.39
314,0.97
315,0.05
316,0.04
317,0.05
318,0.41
319,0.24
320,0.04
321,0.01
322,0.03
323,0.1
324,0.06
325,1.0
326,0.38
327,0.1
328,0.16
329,0.35
330,0.14
331,0.3
332,0.09
333,0.19
